# NYC Care / NYC Health + Hospitals sites — source: https://www.nychealthandhospitals.org/locations/ (fetched 2026-07-04)
# Built by heynyc/modules/clinics/build_seed.py; lat/lon geocoded via NYC GeoSearch.
name	hh_type	street	borough	zip	phone	url	lat	lon
NYC Health + Hospitals/Bellevue	Hospital	462 First Avenue	Manhattan	10016	212-562-1000		40.739174	-73.975002
NYC Health + Hospitals/Elmhurst	Hospital	79-01 Broadway	Queens	11373	718-334-4000		40.745023	-73.885989
NYC Health + Hospitals/Harlem	Hospital	506 Lenox Avenue	Manhattan	10037	212-939-1000		40.814111	-73.939711
NYC Health + Hospitals/Jacobi	Hospital	1400 Pelham Parkway South	Bronx	10461	718-918-5000		40.856603	-73.847523
NYC Health + Hospitals/Kings County	Hospital	451 Clarkson Avenue	Brooklyn	11203	718-245-3131		40.656588	-73.944896
NYC Health + Hospitals/Lincoln	Hospital	234 East 149th Street	Bronx	10451	718-579-5000		40.817045	-73.924370
NYC Health + Hospitals/Metropolitan	Hospital	1901 First Avenue	Manhattan	10029	212-423-6262		40.785071	-73.944937
NYC Health + Hospitals/North Central Bronx	Hospital	3424 Kossuth Avenue	Bronx	10467	718-519-5000		40.880535	-73.881035
NYC Health + Hospitals/Queens	Hospital	82-68 164th Street	Queens	11432	718-883-3000		40.717004	-73.804176
NYC Health + Hospitals/South Brooklyn Health (Ruth Bader Ginsburg Hospital)	Hospital	2601 Ocean Parkway	Brooklyn	11235			40.585650	-73.964870
NYC Health + Hospitals/Woodhull	Hospital	760 Broadway	Brooklyn	11206	718-963-8000		40.699542	-73.942288
NYC Health + Hospitals/Gotham Health, Bedford	Gotham Health	485 Throop Avenue	Brooklyn	11221			40.685505	-73.941139
NYC Health + Hospitals/Gotham Health, Belvis	Gotham Health	545 East 142nd Street	Bronx	10454			40.810146	-73.915789
NYC Health + Hospitals/Gotham Health, Broadway	Gotham Health	815 Broadway	Brooklyn	11206			40.699800	-73.939594
NYC Health + Hospitals/Gotham Health, Brownsville	Gotham Health	259 Bristol Street	Brooklyn	11212			40.664636	-73.911131
NYC Health + Hospitals/Gotham Health, Bushwick	Gotham Health	335 Central Avenue	Brooklyn	11221			40.694712	-73.918738
NYC Health + Hospitals/Gotham Health, Crown Heights	Gotham Health	1218 Prospect Place	Brooklyn	11213			40.673312	-73.935805
NYC Health + Hospitals/Gotham Health, Cumberland	Gotham Health	100 North Portland Avenue	Brooklyn	11205			40.695100	-73.976475
NYC Health + Hospitals/Gotham Health, Dyckman	Gotham Health	175 Nagle Avenue	Manhattan	10034			40.861178	-73.924124
NYC Health + Hospitals/Gotham Health, East New York	Gotham Health	2094 Pitkin Avenue	Brooklyn	11207			40.671763	-73.895261
NYC Health + Hospitals/Gotham Health, Gouverneur	Gotham Health	227 Madison Street	Manhattan	10002			40.713194	-73.987834
NYC Health + Hospitals/Gotham Health, Greenpoint	Gotham Health	875 Manhattan Avenue	Brooklyn	11222			40.729624	-73.954313
NYC Health + Hospitals/Gotham Health, Gun Hill	Gotham Health	1012 East Gun Hill Road	Bronx	10469			40.874304	-73.857686
NYC Health + Hospitals/Gotham Health, Jackson Heights	Gotham Health	34-33 Junction Boulevard	Queens	11372			40.754221	-73.871979
NYC Health + Hospitals/Gotham Health, Jonathan Williams	Gotham Health	333 Roebling Street	Brooklyn	11211			40.708136	-73.960188
NYC Health + Hospitals/Gotham Health, Judson	Gotham Health	34 Spring Street	Manhattan	10012			40.721547	-73.995876
NYC Health + Hospitals/Gotham Health, Lefrak	Gotham Health	59-17 Junction Boulevard	Queens	11368			40.734801	-73.864357
NYC Health + Hospitals/Gotham Health, Morrisania	Gotham Health	1225 Gerard Avenue	Bronx	10452			40.836225	-73.920638
NYC Health + Hospitals/Gotham Health, Parsons	Gotham Health	90-37 Parsons Boulevard	Queens	11432			40.703964	-73.800209
NYC Health + Hospitals/Gotham Health, Ridgewood	Gotham Health	769 Onderdonk Avenue	Queens	11385			40.703056	-73.905377
NYC Health + Hospitals/Gotham Health, Roberto Clemente Center	Gotham Health	540 East 13th Street	Manhattan	10009			40.728810	-73.979285
NYC Health + Hospitals/Gotham Health, Roosevelt	Gotham Health	37-50 72nd Street	Queens	11372			40.747290	-73.894460
NYC Health + Hospitals/Gotham Health, South Queens	Gotham Health	114-02 Guy R. Brewer Boulevard	Queens	11434			40.688510	-73.785837
NYC Health + Hospitals/Gotham Health, Springfield Gardens	Gotham Health	134-64 Springfield Boulevard	Queens	11413			40.679211	-73.755944
NYC Health + Hospitals/Gotham Health, St. Nicholas	Gotham Health	281 West 127th Street	Manhattan	10027			40.811673	-73.949577
NYC Health + Hospitals/Gotham Health, Sydenham	Gotham Health	264 West 118th Street	Manhattan	10026			40.805152	-73.953627
NYC Health + Hospitals/Gotham Health, Tremont	Gotham Health	1920 Webster Avenue	Bronx	10457			40.847972	-73.899652
NYC Health + Hospitals/Gotham Health, Vanderbilt	Gotham Health	165 Vanderbilt Avenue	Staten Island	10304			40.620496	-74.076804
NYC Health + Hospitals/Gotham Health, Williamsburg	Gotham Health	279 Graham Avenue	Brooklyn	11211			40.712063	-73.944307
NYC Health + Hospitals/Gotham Health, Woodside	Gotham Health	50-53 Newtown Road	Queens	11377			40.753419	-73.910506
